iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,ScadaCommand_V1,ScadaCommand_V2,T41,T42,P1,J2,J13,V1F,V2F
0.0,2025-01-13 13:00:57.415779,1.0,1,1,0.0,0.0,3.0510001182556152,3.0510001182556152,1.0,0.0,0.0,0.0,0.0
1.0,2025-01-13 13:01:12.265843,1.0,1,1,,,3.577101469039917,3.722076892852783,1.0,54.770442962646484,54.351871490478516,562.1585693359375,-628.4616088867188
2.0,2025-01-13 13:01:26.912057,1.0,1,1,,,4.089666366577148,4.3476457595825195,1.0,55.27775192260742,55.02223205566406,545.1497802734375,-591.2780151367188
3.0,2025-01-13 13:01:40.973183,1.0,1,1,,,4.589731216430664,4.929535865783691,1.0,55.773311614990234,55.647151947021484,528.4844970703125,-555.54541015625
4.0,2025-01-13 13:01:54.954987,1.0,1,1,,,5.079511642456055,5.468183517456055,1.0,56.259639739990234,56.22844314575195,513.1539306640625,-520.9006958007812
5.0,2025-01-13 13:02:11.147221,1.0,1,1,,,5.567190170288086,5.957542419433594,1.0,56.746639251708984,56.766456604003906,502.1240234375,-483.94952392578125
6.0,2025-01-13 13:02:26.053798,1.0,1,1,,,6.036944389343262,6.417026519775391,1.0,57.21099853515625,57.255455017089844,483.2127685546875,-458.2340393066406
7.0,2025-01-13 13:02:40.558940,1.0,1,1,,,6.486880779266357,6.851006031036377,1.0,57.65578079223633,57.71464538574219,463.7013854980469,-435.4304504394531
8.0,2025-01-13 13:02:55.173498,1.0,1,1,,,6.91754674911499,7.263298988342285,1.0,58.082252502441406,58.14838790893555,445.2461242675781,-415.6473388671875
9.0,2025-01-13 13:03:09.686189,1.0,1,1,,,7.329652786254883,7.655894756317139,1.0,58.491092681884766,58.56047439575195,427.7174987792969,-397.45758056640625
10.0,2025-01-13 13:03:25.217805,1.0,1,0,,,7.7236433029174805,8.030072212219238,1.0,58.882625579833984,58.952884674072266,410.75115966796875,-380.3145751953125
11.0,2025-01-13 13:03:40.546147,1.0,0,0,,,7.704837322235107,8.363176345825195,0.0,59.019203186035156,59.32667541503906,15.753141403198242,-351.57781982421875
12.0,2025-01-13 13:03:56.320778,0.0,0,0,,,7.707763671875,8.258790016174316,0.0,59.00265121459961,59.657989501953125,27.211071014404297,48.0042724609375
13.0,2025-01-13 13:04:14.610918,0.0,0,0,,,7.7252116203308105,8.173516273498535,0.0,59.00602340698242,59.55366134643555,26.357080459594727,40.279476165771484
