iteration,timestamp,T1,PU1F,PU2F,J280,J269,PU1,PU2
41,2025-02-20 02:19:22.138513,2.685711145401001,95.6211032424194,95.6398153811452,2.97566847775607,35.3236395466378,1,1
42,2025-02-20 02:20:47.841756,2.680914878845215,95.6222677839406,95.6409802633778,2.9756679264875,35.3230167158974,1,1
43,2025-02-20 02:22:14.068468,2.67152738571167,95.6233853359927,95.6420981423955,2.97566740089819,35.3224190173711,1,1
44,2025-02-20 02:23:34.697518,2.6713123321533203,95.624463829381,95.6431769513239,2.97566689160199,35.3218422041038,1,1
45,2025-02-20 02:24:59.461693,2.6713123321533203,95.3088781430224,95.3274990077917,2.9758154166946,35.4905280440327,1,1
46,2025-02-20 02:26:26.082564,2.671196937561035,95.3030797480923,95.3216989191694,2.97581814234007,35.4936255489296,1,1
47,2025-02-20 02:27:50.266835,2.67118239402771,95.2971791873342,95.315796634952,2.97582091435033,35.4967775299519,1,1
48,2025-02-20 02:29:17.060898,2.6712677478790283,95.2911600358943,95.3097757254689,2.97582374439693,35.4999927909116,1,1
49,2025-02-20 02:30:38.608823,2.6731555461883545,95.0510331600709,95.0695787594583,2.97593645381537,35.6282024709445,1,1
50,2025-02-20 02:32:05.261659,2.6751351356506348,95.042161083742,95.0607040951689,2.97594061565274,35.632937258906,1,1
51,2025-02-20 02:33:31.067440,2.677206516265869,95.0331242103825,95.0516645858843,2.97594485059512,35.6377598484332,1,1
52,2025-02-20 02:34:51.344441,2.6887502670288086,94.6621138827549,94.6805461472648,2.97611849339132,35.8356102699357,1,1
53,2025-02-20 02:36:17.851832,2.70432448387146,94.0937802307866,94.112047291481,2.97638336707495,36.1381508609084,1,1
54,2025-02-20 02:37:45.069881,2.7317001819610596,93.0892442526548,93.1072205211463,2.97684821248783,36.6712968930445,1,1
55,2025-02-20 02:39:07.255714,2.7865676879882812,93.0498586107943,93.0678235082851,2.97686635004084,36.6921602130316,1,1
56,2025-02-20 02:40:30.362800,2.7865676879882812,93.010469024056,93.028422552978,2.97688448049928,36.7130208914717,1,1
57,2025-02-20 02:41:58.844150,2.814059257507324,92.9710586714221,92.9890008281663,2.97690262081153,36.733889414931,1,1
58,2025-02-20 02:43:19.241880,2.8415892124176025,92.9316122232415,92.9495429997808,2.97692076766963,36.7547738825776,1,1
59,2025-02-20 02:44:46.617883,2.869157075881958,92.89214988222,92.9100692763632,2.97693891714643,36.775663593731,1,1
60,2025-02-20 02:46:07.824509,2.8967628479003906,92.8526585535606,92.8705665593421,2.9769570713821,36.7965654727493,1,1
61,2025-02-20 02:47:39.954487,2.923691987991333,92.9899897595673,93.0079373799249,2.97689390658899,36.7238638651733,1,1
62,2025-02-20 02:49:07.340773,2.95065975189209,92.9512016084073,92.9691380361766,2.97691175551558,36.744402852302,1,1
63,2025-02-20 02:50:31.269224,3.0047106742858887,92.9123685752021,92.9302938009013,2.97692961797268,36.7649610099925,1,1
64,2025-02-20 02:51:53.687099,3.0047106742858887,92.8735107903721,92.8914248091822,2.97694748445503,36.7855291939165,1,1
65,2025-02-20 02:53:20.411980,3.0317935943603516,92.8346351845635,92.8525379936678,2.9769653548293,36.8061037337707,1,1
66,2025-02-20 02:54:47.668886,3.0589141845703125,92.7957362696919,92.8136278646948,2.97698322780942,36.8266875255383,1,1
67,2025-02-20 02:56:12.728800,3.0860726833343506,92.7568057340481,92.774686108163,2.97700111164307,36.8472849647565,1,1
68,2025-02-20 02:57:41.634337,3.1132686138153076,92.7178505650645,92.7357197135252,2.97701899268503,36.8678923353409,1,1
