J2,P1F,V_UF,P1,T41
0.0,0.0,0.0,1,3.0510001182556152
69.1993172472623,213.393503019295,233.338957218621,1,3.191577911376953
69.2178528705034,212.416547842605,232.284307747932,1,3.3316547870635986
69.2178528705034,212.416547842605,232.284307747932,1,3.3316547870635986
69.2363559395635,211.441308495763,231.230533264579,1,3.471224069595337
69.2548255611276,210.467832062636,230.177697509362,1,3.6102800369262695
69.2732612825445,209.496142401062,229.125823660752,1,3.7488157749176025
69.2916624069503,208.526276240569,228.074975459549,1,3.8868255615234375
69.3100284799917,207.558257528714,227.02519346808,1,4.024302959442139
69.3283586989117,206.592128576324,225.97652404329,1,4.1612420082092285
69.3466524618144,205.627921107471,224.929001952887,1,4.29763650894165
69.3649092256803,204.66566374302,223.882696732289,1,4.433480739593506
69.3831282462825,203.705395708869,222.837637354587,1,4.568768501281738
69.4013091894915,202.747134615939,221.793870176725,1,4.703494548797607
69.5045894702715,197.303551541037,219.206828149936,1,4.854797840118408
69.5246349863013,196.247014601327,218.048055186273,1,5.005339622497559
69.5446376477363,195.192736394314,216.891084348845,1,5.155116558074951
69.5645973968219,194.140719964059,215.735915637651,1,5.30412483215332
69.5845135889868,193.090999283919,214.582595409638,1,5.452361583709717
69.6043858540517,192.043593864897,213.431146843277,1,5.599823474884033
69.6242135989934,190.9985349634,212.281598911659,1,5.746506690979004
69.6439965164051,189.955838781888,211.134003766347,1,5.892408847808838
69.6637339428885,188.915540286029,209.988378791195,1,6.037526607513428
69.6834256974628,187.877649014764,208.844752959294,1,6.181857109069824
69.7030711633294,186.84219747762,207.703172627589,1,6.325396537780762
69.7226699596627,185.809205746746,206.563666769171,1,6.468143463134766
69.7027682834246,186.858161337431,206.13581534576,1,6.602252960205078
67.7983591892445,287.233654456544,186.64944175157,1,6.720989227294922
67.821255800746,286.02684512275,185.767581998562,1,6.838409900665283
67.8440967737212,284.822968323005,184.890085592997,1,6.9545464515686035
67.8440967737212,284.822968323005,184.890085592997,1,6.9545464515686035
