iteration,timestamp,T2,J4,V4F,V4
0,2026-01-02 15:19:40.039818,0.0,0.0,0.0,1
1,2026-01-02 15:19:42.920776,3.2186313630937082,54.51407420451124,155.15348742439983,1
2,2026-01-02 15:19:46.038221,3.384807142011733,54.68024288465668,153.80491464156876,1
3,2026-01-02 15:19:49.243568,3.5495385392600243,54.84496729039304,152.46679824713283,1
4,2026-01-02 15:19:52.970055,3.712836759908192,55.00825862556742,151.13913244647392,1
5,2026-01-02 15:19:55.869662,3.8747129945809093,55.17012807954792,149.82188826650145,1
6,2026-01-02 15:19:58.687327,4.035178410455544,55.33058681828106,148.51505991259728,1
7,2026-01-02 15:20:01.559834,4.194244154467481,55.4896459874968,147.2186213089799,1
8,2026-01-02 15:20:04.424863,4.351921356607842,55.64731671598689,145.93255217448586,1
9,2026-01-02 15:20:07.537643,4.508221129203803,55.8036101148283,144.65682933064272,1
10,2026-01-02 15:20:10.707962,4.6631545539216965,55.95853726451355,143.39144118821423,1
11,2026-01-02 15:20:13.928015,4.816732695885316,56.11210922890251,142.13635008218262,1
12,2026-01-02 15:20:16.723808,4.9689665819627695,56.26440141284254,153.63097758950062,1
13,2026-01-02 15:20:19.517172,5.133511684357111,56.428940039236316,152.3906627596716,1
14,2026-01-02 15:20:22.246549,5.296728356939916,56.592150321740995,151.15831842706484,1
15,2026-01-02 15:20:25.050922,5.458625141758665,56.75404080133969,149.93389823473535,1
16,2026-01-02 15:20:27.635900,5.619210523315692,56.914619961589516,148.71737320959255,1
17,2026-01-02 15:20:30.272691,5.778492954534765,57.07389625454064,147.50872017316397,1
18,2026-01-02 15:20:32.640599,5.936480870213153,57.23187811399307,146.30790435774088,1
19,2026-01-02 15:20:35.302143,6.093182659312916,57.38857392800285,145.1148909956146,1
20,2026-01-02 15:20:38.167553,6.2486066824370825,57.543992056181544,143.9296424217673,1
21,2026-01-02 15:20:41.181175,6.402761251723038,57.69814080980367,142.75212386849034,1
22,2026-01-02 15:20:44.201652,6.555654656635882,57.85102847737814,141.5823121573112,1
23,2026-01-02 15:20:47.000064,6.707295142033454,58.0026633028443,140.42015513666684,1
24,2026-01-02 15:20:49.822638,6.857690914409885,58.15302465802312,133.16855272478278,1
25,2026-01-02 15:20:52.522360,7.000319918864246,58.29564841069345,132.03229764712887,1
26,2026-01-02 15:20:55.194634,7.141731945574028,58.43686869047656,82.22906441517353,1
27,2026-01-02 15:20:58.113966,7.229802660082892,58.52493952618439,82.26844463990801,1
28,2026-01-02 15:21:00.840853,7.317915549019383,58.61305244998601,82.27976442640283,1
29,2026-01-02 15:21:03.495712,7.406040567029888,58.70117742248155,82.2649823555821,1
30,2026-01-02 15:21:06.053829,7.4941497507550245,58.78907889096448,-57.63849855384251,1
31,2026-01-02 15:21:08.755700,7.432416548500268,58.72734784614253,-56.683116686144785,1
32,2026-01-02 15:21:11.755629,7.371706594553887,58.666639857873044,-55.80057606550781,1
33,2026-01-02 15:21:14.282887,7.3119418784334265,58.606876931639064,-54.98650465256105,1
34,2026-01-02 15:21:17.074368,7.253049069737698,58.547985751598596,-54.23674770611342,1
35,2026-01-02 15:21:19.411599,7.194959282340772,58.489897445052584,-53.54729535042679,1
36,2026-01-02 15:21:21.886353,7.137607926841355,58.432570633441074,-40.73744888216879,1
37,2026-01-02 15:21:24.398977,7.093976441852401,58.38894101636404,-39.62103167964415,1
38,2026-01-02 15:21:26.889607,7.0515406877780915,58.346506922076834,-38.60606085652307,1
39,2026-01-02 15:21:29.479043,7.0101920079721465,58.30515970060771,-37.6951700667405,1
40,2026-01-02 15:21:32.181696,6.969818926963091,58.264787895455974,-36.88262843297707,1
41,2026-01-02 15:21:34.843658,6.930316112416206,58.225286195499365,-36.16012647285061,1
42,2026-01-02 15:21:37.451785,6.891587128723641,58.18655818399011,-35.51976032724724,1
43,2026-01-02 15:21:39.940959,6.85354400330125,58.148515905221586,-34.95397381414023,1
44,2026-01-02 15:21:42.525254,6.81610685855164,58.11107949668975,-34.455575812444295,1
45,2026-01-02 15:21:44.979665,6.779203512788534,58.07417679024439,-34.017760543179065,1
46,2026-01-02 15:21:47.639756,6.742769091351741,58.037742923221266,-33.6341684129593,1
47,2026-01-02 15:21:49.880391,6.706745513271783,58.001719825363786,-33.29887442475865,1
48,2026-01-02 15:21:52.584829,6.6710810468300865,57.96601342735452,-56.19839108589986,1
49,2026-01-02 15:21:54.780290,6.6108902575013575,57.90582258403623,-56.22264446003555,1
50,2026-01-02 15:21:57.619280,6.550673489445825,57.84560576663749,-56.24480018241229,1
