,J1,J2,J3,J4,J5,J5S,J1S,J4S
141,-0.00015867124868287007,-0.00014248769620662182,-0.00012711501963212136,-0.0001260319740144822,-0.00012701167642635181,0,0,0
142,-0.00015872049221343998,-0.00014260713816588,-0.0001273298042035631,-0.00012624318814482449,-0.00012722731625852912,0,0,0
143,-0.00015876951728860443,-0.00014272616278248107,-0.0001275429793990457,-0.0001264536723739773,-0.00012744132686365317,0,0,0
144,-0.00015902214709666572,-0.0001433999348562681,-0.00012804227960693803,-0.00012666346588917742,-0.00012793768269253158,0,0,0
145,-0.00015907775429213234,-0.00014353366793110221,-0.00012828305953695217,-0.00012690181790249387,-0.00012817940782435588,0,0,0
146,-0.00015913312842115446,-0.0001436669147842834,-0.00012852206325806637,-0.00012713928423898846,-0.00012841933702067987,0,0,0
147,-0.00015918827016278892,-0.0001437996651762008,-0.00012875930925760227,-0.00012737584019796965,-0.00012865748954408174,0,0,0
148,-0.00015924317894832563,-0.00014393190873143225,-0.00012899481623791618,-0.0001276114624198832,-0.0001288938848382215,0,0,0
149,-0.00015929785500128746,-0.00014406363611577599,-0.00012922860192239095,-0.0001278461289881705,-0.00012912854131685636,0,0,0
150,-0.00015935229758602952,-0.00014419483796390686,-0.00012946068376844532,-0.00012807981919725763,-0.00012936147708816792,0,0,0
151,-0.00015940650739292627,-0.00014432550621485462,-0.00012969107938628599,-0.0001283125135299201,-0.00012959271037351393,0,0,0
152,-0.0001594604842805075,-0.00014445563283028428,-0.00012991980555993377,-0.00012854419366294166,-0.000129822258579384,0,0,0
153,-0.00015951422839024344,-0.00014458521036037674,-0.00013014687893759812,-0.0001287748422916912,-0.00013005013888591543,0,0,0
154,-0.00015956773961461667,-0.00014471423166937669,-0.00013037231600904198,-0.000129004443186711,-0.00013027636831479893,0,0,0
155,-0.0001596210188307423,-0.0001448426905608907,-0.00013059613269248872,-0.00012923298106356395,-0.00013050096331052697,0,0,0
156,-0.0001598146720398358,-0.00014534247484574824,-0.00013102044837460248,-0.0001294604887716233,-0.00013092346494895878,0,0,0
157,-0.000159872390162622,-0.00014548025719859193,-0.00013126213740323966,-0.00012970667791540436,-0.00013116601351638945,0,0,0
158,-0.00015992986627521964,-0.0001456174450032449,-0.00013150208259701034,-0.00012995173041994269,-0.00013140680327009213,0,0,0
159,-0.00015998710154758704,-0.00014575403250470075,-0.0001317403000835138,-0.00013019563145916458,-0.00013164585081866463,0,0,0
160,-0.00016004409425944693,-0.0001458900126379392,-0.00013197680578097337,-0.00013043836707279377,-0.00013188317254435254,0,0,0
161,-0.0001601008463531847,-0.000146025380799521,-0.00013221161496250854,-0.0001306799241380574,-0.00013211878416166222,0,0,0
162,-0.00016015735670411258,-0.00014616013092886405,-0.00013244474287860353,-0.00013092029031309792,-0.00013235270133417075,0,0,0
163,-0.00016021362529100995,-0.00014629425793587168,-0.00013267620422517944,-0.00013115945401999672,-0.0001325849391652334,0,0,0
164,-0.0001602696527858602,-0.00014642775739818649,-0.00013290601378303956,-0.00013139740437120962,-0.00013281551282045222,0,0,0
