iteration,timestamp,T1,P1F,J1,V1F,P1
0,2026-01-02 15:19:40.571095,0.0,0.0,0.0,0.0,1
1,2026-01-02 15:19:43.423850,3.1915781497955322,212.41648803874583,69.21785400515299,232.2842845694595,1
2,2026-01-02 15:19:46.472876,3.3316550254821777,211.44124915999504,69.23635706533213,231.23051008610673,1
3,2026-01-02 15:19:49.878348,3.471224784851074,210.46777119276453,69.2548267160025,230.17766274165297,1
4,2026-01-02 15:19:53.407820,3.610280752182007,209.4960778127615,69.27326250796852,229.12579468766126,1
5,2026-01-02 15:19:56.298505,3.748816967010498,208.5262141225308,69.29166358550646,228.07495228107655,1
6,2026-01-02 15:19:59.107990,3.886826753616333,207.55819729728142,69.31002962275358,227.02516449498944,1
7,2026-01-02 15:20:01.986909,4.024304389953613,206.59206734721738,69.32835986060236,225.97649507019923,1
8,2026-01-02 15:20:04.997858,4.161243915557861,205.62785452257833,69.34665372511955,224.92897877441465,1
9,2026-01-02 15:20:07.988748,4.297638416290283,204.66559609282982,69.3649105091972,223.88266775919874,1
10,2026-01-02 15:20:11.263719,4.433483123779297,203.7053202836255,69.38312967731427,222.83760258687835,1
11,2026-01-02 15:20:14.373579,4.568770885467529,202.7470584678768,69.40131063423719,221.79383540901654,1
12,2026-01-02 15:20:17.256153,4.703496932983398,197.30368619956687,69.50458691541547,219.20685712302657,1
13,2026-01-02 15:20:20.215422,4.854799747467041,196.247152463938,69.52463237065476,218.04809574859974,1
14,2026-01-02 15:20:22.841693,5.005341053009033,195.1928787763957,69.5446349463425,216.89112491117157,1
15,2026-01-02 15:20:25.499332,5.155117511749268,194.14086345140512,69.5645946744581,215.73596199459644,1
16,2026-01-02 15:20:28.067397,5.3041253089904785,193.09114412390056,69.5845108409597,214.58264176658304,1
17,2026-01-02 15:20:30.687015,5.452361106872559,192.04374796935818,69.60438293025096,213.43119320022197,1
18,2026-01-02 15:20:33.122625,5.599822521209717,190.99868809851145,69.624210693584,212.28165685784006,1
19,2026-01-02 15:20:35.808527,5.746505260467529,189.95599795420063,69.64399349645285,211.1340617125279,1
20,2026-01-02 15:20:38.637086,5.892406940460205,188.91569843188748,69.66373094241104,209.9884367373761,1
21,2026-01-02 15:20:41.815534,6.037524223327637,187.8778124185013,69.6834225972283,208.84483408394772,1
