iteration,timestamp,P79,T41,T42,P1,J2,J13,J21,V1F
0.0,2024-12-23 14:10:12.470195,1.0,3.0510001182556152,3.0510001182556152,1.0,0.0,0.0,0.0,0.0
1.0,2024-12-23 14:10:19.518687,1.0,4.683529376983643,3.2962145805358887,1.0,57.42097854614258,77.10723114013672,54.37644577026367,1588.9935302734375
2.0,2024-12-23 14:10:26.686102,1.0,6.243758201599121,3.552588939666748,1.0,58.806068420410156,77.15470123291016,56.00652313232422,1533.7672119140625
3.0,2024-12-23 14:10:33.801408,1.0,7.732635021209717,3.8180088996887207,1.0,60.131492614746094,77.20191955566406,57.564430236816406,1476.5428466796875
4.0,2024-12-23 14:10:41.052354,1.0,7.870114803314209,4.069386959075928,0.0,59.059085845947266,77.17391204833984,59.02794647216797,202.97898864746094
5.0,2024-12-23 14:10:48.060056,1.0,8.00792121887207,4.318483829498291,0.0,59.19670486450195,77.1837158203125,59.165428161621094,202.19635009765625
6.0,2024-12-23 14:10:54.983205,1.0,8.146038055419922,4.5653157234191895,0.0,59.33464431762695,77.19351959228516,59.3032341003418,201.4091796875
7.0,2024-12-23 14:11:02.284382,1.0,8.284449577331543,4.809898853302002,0.0,59.47288513183594,77.20331573486328,59.44135284423828,200.61752319335938
8.0,2024-12-23 14:11:09.861601,1.0,8.423139572143555,5.052249908447266,0.0,59.61141586303711,77.21311950683594,59.57976531982422,199.82144165039062
9.0,2024-12-23 14:11:16.687022,1.0,8.562091827392578,5.292384624481201,0.0,59.75021743774414,77.22291564941406,59.71845626831055,199.02098083496094
10.0,2024-12-23 14:11:23.460020,1.0,8.701290130615234,5.5303192138671875,0.0,59.88927459716797,77.23271179199219,59.8574104309082,198.2161865234375
11.0,2024-12-23 14:11:30.780183,1.0,8.840719223022461,5.76607084274292,0.0,60.02857208251953,77.24250793457031,59.99660873413086,197.40711975097656
12.0,2024-12-23 14:11:37.848240,1.0,8.980360984802246,5.999655723571777,0.0,60.168094635009766,77.25230407714844,60.13603973388672,196.59384155273438
13.0,2024-12-23 14:11:45.168096,1.0,9.122846603393555,6.234869480133057,0.0,60.30896759033203,77.27095794677734,60.27569580078125,196.52024841308594
14.0,2024-12-23 14:11:52.405326,1.0,9.265510559082031,6.467918872833252,0.0,60.45153045654297,77.28091430664062,60.418182373046875,195.68321228027344
15.0,2024-12-23 14:11:59.577071,1.0,9.40833568572998,6.698822021484375,0.0,60.59426498413086,77.2908706665039,60.56084442138672,194.842041015625
16.0,2024-12-23 14:12:06.587991,1.0,9.551305770874023,6.927594184875488,0.0,60.737152099609375,77.30082702636719,60.703670501708984,193.99679565429688
17.0,2024-12-23 14:12:13.516173,1.0,9.694404602050781,7.154253005981445,0.0,60.88018035888672,77.31078338623047,60.846641540527344,193.14752197265625
18.0,2024-12-23 14:12:20.426114,1.0,9.837615966796875,7.378815650939941,0.0,61.0233268737793,77.32073211669922,60.989742279052734,192.29428100585938
