,J1,J2,J3,J4,J5,J1S,J2S
236,-0.0001585097554289122,-0.00014210000033803628,-0.0001262972371227744,-0.00012514685353818612,-0.00012619003647254434,0,0
237,-0.00015856122715708352,-0.00014222461305743282,-0.00012652410393135694,-0.0001253677871671077,-0.00012641784363333963,0,0
238,-0.00015861247767966934,-0.00014234882578690323,-0.0001267492653000768,-0.00012558803162127208,-0.00012664392290012705,0,0
239,-0.00015866350736449208,-0.00014247262558475637,-0.00012697274123281587,-0.0001258075551830673,-0.00012686829533498534,0,0
240,-0.00015903400641926134,-0.00014346111057788824,-0.00012766742841482159,-0.00012602643780011523,-0.00012755811320431796,0,0
241,-0.0001590952821673644,-0.0001436077939027197,-0.0001279344597248022,-0.00012628983093307956,-0.0001278262184652801,0,0
242,-0.00015915631660980034,-0.0001437539631617396,-0.00012819953793158367,-0.0001265522744220704,-0.00012809234895547195,0,0
243,-0.0001592171113748908,-0.0001438996093008571,-0.00012846268228076772,-0.00012681374228750596,-0.00012835652471272828,0,0
244,-0.00015927766548790633,-0.00014404472275668877,-0.00012872391108425307,-0.0001270742099362121,-0.00012861876480156907,0,0
245,-0.00015933797862770964,-0.00014418929023952696,-0.0001289832424502213,-0.0001273336540991754,-0.0001288790880431856,0,0
246,-0.00015939805039818426,-0.00014433330429389378,-0.00012924069422654894,-0.00012759205270704955,-0.00012913751297016996,0,0
247,-0.00015945788128315819,-0.00014447675785476897,-0.00012949628407437185,-0.00012784938488449637,-0.00012939405787178559,0,0
248,-0.0001268475557827581,-0.00012685525836660382,-0.00012698881292872,-0.0001281049652934296,-0.0001269948547291766,0,0
249,-0.0001265849827679247,-0.00012659420220765383,-0.000126722072441795,-0.00012786359245061995,-0.0001267279578611269,0,0
250,-0.0001263224038198324,-0.00012633313491500152,-0.00012645569516538167,-0.00012762083013308166,-0.0001264614379827833,0,0
251,-0.0001260598433067178,-0.00012607206488914557,-0.00012618966763717874,-0.00012737678588643718,-0.00012619528021148407,0,0
252,-0.000126174363592364,-0.00012618292085974704,-0.00012627001346360745,-0.00012713164913641327,-0.00012627414382665903,0,0
253,-0.0001259527947878486,-0.00012596259749352246,-0.00012604569084322502,-0.0001269250274701117,-0.00012604971771801866,0,0
254,-0.00012573127552052753,-0.00012574228359165217,-0.00012582168796240078,-0.00012671731069455015,-0.00012582562143293008,0,0
255,-0.00012550981830060785,-0.00012552198447341457,-0.0001255979873127866,-0.0001265085944633687,-0.0001256018363652367,0,0
256,-0.00012528843233072407,-0.00012530170443101452,-0.00012537457164633946,-0.00012629896536196948,-0.0001253783442709455,0,0
257,-0.00012506712287922521,-0.00012508144586661552,-0.00012515142349432297,-0.00012608850190912567,-0.00012515512683815787,0,0
258,-0.0001248458930329904,-0.0001248612106589414,-0.0001249285259086108,-0.00012587727536902016,-0.00012493216637178504,0,0
259,-0.0001246247441487186,-0.00012464099988033605,-0.00012470586256920434,-0.00012566535053216087,-0.00012470944590106558,0,0
260,-0.000124403676210848,-0.00012442081424946793,-0.0001244834178521381,-0.00012545278635765544,-0.0001244869492078593,0,0
261,-0.00012418268774243011,-0.0001242006535654494,-0.00012426117664839808,-0.000125239636561727,-0.00012426466069083596,0,0
262,-0.00012396177699206424,-0.00012398051781413344,-0.00012403912489584944,-0.00012502595011568918,-0.00012404256581817984,0,0
263,-0.00012374094104970895,-0.00012376040607313453,-0.0001238172490020384,-0.0001248117717184566,-0.00012382065060697944,0,0
264,-0.00015863769750726396,-0.0001424894148739453,-0.00012611288850006064,-0.00012459775738700828,-0.00012599879622675168,0,0
265,-0.0001586981286544087,-0.00014263407245630465,-0.00012638115691573915,-0.00012485696492130826,-0.00012626821948605427,0,0
266,-0.0001587583260461492,-0.00014277829925634088,-0.00012664743574023252,-0.0001251154070171123,-0.0001265356271915663,0,0
267,-0.00015881828886337324,-0.0001429220775393536,-0.00012691174465487065,-0.00012537304943298076,-0.00012680104009979098,0,0
268,-0.00015887801642985337,-0.00014306539422218156,-0.0001271741031372664,-0.00012562985978922136,-0.00012706447868429115,0,0
269,-0.00015893750834098497,-0.00014320823830693384,-0.00012743453050092723,-0.00012588580749998358,-0.00012732596321491263,0,0
270,-0.00015899676396015223,-0.00014335059143361195,-0.00012769304583300833,-0.00012614086364876487,-0.00012758551367856086,0,0
271,-0.00015905578296904725,-0.0001434924477793037,-0.00012794966802260666,-0.00012639500085825817,-0.0001278431498018362,0,0
272,-0.0001591145647720807,-0.000143633793378074,-0.00012820441568719642,-0.0001266481932790342,-0.00012809889100576344,0,0
273,-0.00015917310886844809,-0.00014377461735935515,-0.00012845730718960557,-0.0001269004164650478,-0.0001283527564171094,0,0
274,-0.0001592314156882188,-0.00014391491273452073,-0.00012870836068894497,-0.0001271516472661205,-0.00012860476491365346,0,0
275,-0.000159289483973723,-0.00014405466380887022,-0.00012895759395952666,-0.00012740186385623464,-0.00012885493492047038,0,0
276,-0.0001593342662920308,-0.000144159098191029,-0.00012918563181289698,-0.00012765104101408853,-0.00012908412823993352,0,0
