iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,ScadaCommand_V1,T41,T42,P1,J2,J13,J21,V1F
26.0,2024-11-12 18:13:41.446212,0.0,0,0,,6.118154048919678,5.796361446380615,0.0,57.45584487915039,57.257564544677734,57.46010971069336,-19.6356258392334
27.0,2024-11-12 18:13:55.600722,0.0,0,0,,6.075160026550293,5.819018840789795,0.0,57.40950012207031,57.24345779418945,57.413116455078125,-17.999126434326172
28.0,2024-11-12 18:14:08.827797,0.0,0,0,,6.03611421585083,5.837728023529053,0.0,57.367103576660156,57.230281829833984,57.3701286315918,-16.383930206298828
29.0,2024-11-12 18:14:23.273046,0.0,0,0,,6.000954627990723,5.852550506591797,0.0,57.32859802246094,57.21802520751953,57.33108901977539,-14.790858268737793
30.0,2024-11-12 18:14:36.744404,0.0,0,0,,5.969615459442139,5.863552570343018,0.0,57.293922424316406,57.20669174194336,57.29593276977539,-13.220438957214355
31.0,2024-11-12 18:14:49.857557,0.0,0,1,,7.270842552185059,5.946796894073486,1.0,59.28487014770508,58.3677864074707,57.28461837768555,1268.864990234375
32.0,2024-11-12 18:15:02.686817,0.0,0,0,,8.505217552185059,6.052469253540039,1.0,60.39809036254883,59.06713104248047,58.583984375,1218.2718505859375
33.0,2024-11-12 18:15:28.080969,0.0,0,0,,10.668000221252441,6.299494743347168,1.0,62.49716567993164,60.422821044921875,60.98885726928711,1126.5040283203125
34.0,2024-11-12 18:15:41.011412,0.0,0,0,,10.668000221252441,6.334113121032715,1.0,77.6141128540039,69.68009948730469,77.61410522460938,171.10333251953125
35.0,2024-11-12 18:15:54.970481,0.0,0,0,,10.668000221252441,6.63928747177124,1.0,77.61553192138672,69.69441223144531,77.61553192138672,170.95399475097656
36.0,2024-11-12 18:16:07.461821,0.0,0,0,,10.668000221252441,6.941953659057617,1.0,77.62811279296875,69.82062530517578,77.62810516357422,169.63214111328125
37.0,2024-11-12 18:16:20.778679,0.0,0,0,,10.668000221252441,7.245903015136719,1.0,77.6554946899414,70.05142211914062,77.6554946899414,166.9491729736328
38.0,2024-11-12 18:16:32.637716,0.0,0,0,,10.668000221252441,7.547322750091553,1.0,77.66818237304688,70.17659759521484,77.66818237304688,165.61575317382812
39.0,2024-11-12 18:16:45.929978,0.0,0,0,,10.668000221252441,7.846216201782227,1.0,77.68084716796875,70.30079650878906,77.68084716796875,164.28453063964844
40.0,2024-11-12 18:16:58.707920,0.0,0,0,,10.668000221252441,8.14258861541748,1.0,77.69349670410156,70.42401123046875,77.69349670410156,162.95558166503906
41.0,2024-11-12 18:17:12.136133,0.0,0,0,,10.668000221252441,8.436443328857422,1.0,77.70612335205078,70.54625701904297,77.70612335205078,161.62887573242188
